"input","datatype","importcolname","dbcolname","dbcoltype"
"hc","synoptic",NA,NA,NA
"Station.Number","synoptic","station","station","integer"
"Year","synoptic","year_local","date_local","date"
"Month","synoptic","month_local",NA,NA
"Day","synoptic","day_local",NA,NA
"Hour","synoptic","hour_local","hour_local","integer"
"Minute.in.Local.Time","synoptic","min_local","min_local","integer"
"Year.1","synoptic","year_std","date_std","date"
"Month.1","synoptic","month_std",NA,NA
"Day.1","synoptic","day_std",NA,NA
"Hour.1","synoptic","hour_std","hour_std","integer"
"Minute.in.Local.Standard.Time","synoptic","min_std","min_std","integer"
"Precipitation.in.mm","synoptic","precipitation","precipitation","numeric"
"Quality.of.precipitation","synoptic","precipitation_quality","precipitation_quality","character"
"Air.temperature.in.Degrees.C","synoptic","temperature","temperature","numeric"
"Quality.of.air.temperature","synoptic","temperature_quality","temperature_quality","character"
"Relative.humidity.in.percentage..","synoptic","relhumidity","relhumidity","numeric"
"Quality.of.relative.humidity","synoptic","relhumidity_quality","relhumidity_quality","character"
"Wind.speed.measured.in.km.h","synoptic","windspeed","windspeed","numeric"
"Quality.of.wind.speed","synoptic","windspeed_quality","windspeed_quality","character"
"Wind.direction.measured.in.degrees","synoptic","winddir","winddir","numeric"
"Quality.of.wind.direction","synoptic","winddir_quality","winddir_quality","character"
"X.","synoptic",NA,NA,NA
"hm","aws",NA,NA,NA
"Station.Number","aws","station","station","integer"
"Year.Month.Day.Hour.Minutes.in.YYYY","aws","year_local","date_local","date"
"MM","aws","month_local",NA,NA
"DD","aws","day_local",NA,NA
"HH24","aws","hour_local","hour_local","integer"
"MI.format.in.Local.time","aws","min_local","min_local","integer"
"Year.Month.Day.Hour.Minutes.in.YYYY.1","aws","year_std","date_std","date"
"MM.1","aws","month_std",NA,NA
"DD.1","aws","day_std",NA,NA
"HH24.1","aws","hour_std","hour_std","integer"
"MI.format.in.Local.standard.time","aws","min_std","min_std","integer"
"Precipitation.since.9am.local.time.in.mm","aws","precipitation","precipitation","numeric"
"Quality.of.precipitation.since.9am.local.time","aws","precipitation_quality","precipitation_quality","character"
"Air.Temperature.in.degrees.C","aws","temperature","temperature","numeric"
"Quality.of.air.temperature","aws","temperature_quality","temperature_quality","character"
"Relative.humidity.in.percentage..","aws","relhumidity","relhumidity","numeric"
"Quality.of.relative.humidity","aws","relhumidity_quality","relhumidity_quality","character"
"Wind.speed.in.km.h","aws","windspeed","windspeed","numeric"
"Wind.speed.quality","aws","windspeed_quality","windspeed_quality","character"
"Wind.direction.in.degrees.true","aws","winddir","winddir","numeric"
"Wind.direction.quality","aws","winddir_quality","winddir_quality","character"
"Speed.of.maximum.windgust.in.last.10.minutes.in..km.h","aws","windgust","windgust","numeric"
"Quality.of.speed.of.maximum.windgust.in.last.10.minutes","aws","windgust_quality","windgust_quality","character"
"AWS.Flag","aws",NA,NA,NA
"X.","aws",NA,NA,NA
"ua","upperair",NA,NA,NA
"station.number","upperair","station","station","integer"
"year","upperair","year_local","date_local","date"
"month","upperair","month_local",NA,NA
"day","upperair","day_local",NA,NA
"hour","upperair","hour_local","hour_local","integer"
"minute.in.local.time","upperair","min_local","min_local","integer"
"year.1","upperair","year_std","date_std","date"
"month.1","upperair","month_std",NA,NA
"day.1","upperair","day_std",NA,NA
"Hour.1","upperair","hour_std","hour_std","integer"
"Minute.in.Local.Standard.Time","upperair","min_std","min_std","integer"
"air.temperature.in.degrees.c","upperair","temperature","temperature","numeric"
"quality.of.air.temperature","upperair","temperature_quality","temperature_quality","character"
"dew.point.temperature.in.degrees.c","upperair","dewpoint_temperature","dewpoint_temperature","numeric"
"quality.of.dew.point.temperature","upperair","dewpoint_temperature_quality","dewpoint_temperature_quality",""
"relative.humidity.in.percentage..","upperair","relhumidity","relhumidity","numeric"
"quality.of.relative.humidity","upperair","relhumidity_quality","relhumidity_quality","character"
"Wind.speed.measured.in.km.h","upperair","windspeed","windspeed","numeric"
"quality.of.wind.speed","upperair","windspeed_quality","windspeed_quality","character"
"wind.direction.measured.in.degrees","upperair","winddir","winddir","numeric"
"Quality.of.wind.direction","upperair","winddir_quality","winddir_quality","character"
"pressure.in.hpa","upperair","pressure","pressure","numeric"
"quality.of.pressure","upperair","pressure_quality","pressure_quality","character"
"geopotential.height.in.gpm.to.nearest.0.1m","upperair","geopotential_height","geopotential_height","numeric"
"quality.of.geopotential.height","upperair","geopotential_height_quality","geopotential_height_quality","character"
"level.type","upperair","level_type","level_type","integer"
"x.","upperair",NA,NA,NA
